source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Mengeon,Claudot Moictessier,WIDOW_OF,w084,1.0,Mengeon veuve de Claudot Moictessier,directed,,{}
Halbix,Florentin Mongenot,WIDOW_OF,w085,1.0,Halbix veuve Florentin Mongenot bouchier de la Neufville,directed,,{}
Marie,Steff,WIDOW_OF,w094,1.0,Marie veuve Steff,directed,,{}
Engel,Michel Schouter,WIDOW_OF,w094,1.0,Engel veuve Michel Schouter,directed,,{}
Annel,Jean Thomas,WIDOW_OF,w094,1.0,Annel veuve Jean Thomas,directed,,{}
Bette,Hans Duscher,WIDOW_OF,w098,1.0,Bette veuve Hans Duscher,directed,,{}
Jehenne,Adam Marchal,WIDOW_OF,w100,1.0,Jehenne veuve Adam Marchal d'Amange,directed,,{}
Meclon,Didier Lhuilier,WIDOW_OF,w102,1.0,Meclon veuve Didier Lhuilier,directed,,{}
Agnel,Noel Gaidat,WIDOW_OF,w106,1.0,Agnel veuve Noel Gaidat de Bathelemont,directed,,{}
Catherine,Anthoine Menzier,WIDOW_OF,w106,1.0,Catherine veuve Anthoine Menzier,directed,,{}
Catherine,Claude Pieton,WIDOW_OF,w106,1.0,Catherine veuve Claude Pieton de Bathelemont,directed,,{}
Jacotte,Claudon Goudat,WIDOW_OF,w106,1.0,Jacotte veuve Claudon Goudat de Bathelemont,directed,,{}
Jennon,Nicolas Olry,WIDOW_OF,w106,1.0,Jennon veuve Nicolas Olry de Bathelemont,directed,,{}
Mengeotte,Jean Vaultrin,WIDOW_OF,w106,1.0,Mengeotte veuve Jean Vaultrin de Bathelemont,directed,,{}
Margueritte,Nicolas Vaultrin,WIDOW_OF,w106,1.0,Margueritte veuve Nicolas Vaultrin de Bathelemont,directed,,{}
Catherine,Anthoine,WIDOW_OF,w108,1.0,Catherine veuve Anthoine d'Allemangne,directed,,{}
Jehenne,Jean Halbix,WIDOW_OF,w108,1.0,Jehenne veuve Jean Halbix,directed,,{}
Dieudonnée,Jean Vannier,WIDOW_OF,w108,1.0,Dieudonnée veuve Jean Vannier,directed,,{}
Susanne,Jean Rosselat,WIDOW_OF,w109,1.0,Susanne veuve Jean Rosselat,directed,,{}
Jennon,Poirson Henry,WIDOW_OF,w109,1.0,Jennon veuve Poirson Henry,directed,,{}
Ysabel,Demenge Jean,WIDOW_OF,w111,1.0,Ysabel veuve Demenge Jean Trop du Mesnil,directed,,{}
Margueritte,Dedier Roy,WIDOW_OF,w112,1.0,Margueritte veuve Dedier Roy,directed,,{}
Claudotte,Thiebauld Poirot,WIDOW_OF,w114,1.0,Claudotte veuve Thiebauld Poirot,directed,,{}
Margueritte,Jean Husson,WIDOW_OF,w115,1.0,Margueritte veuve Jean Husson,directed,,{}
Jeannon,Nicolas Mengenot,WIDOW_OF,w115,1.0,Jeannon veuve Nicolas Mengenot,directed,,{}
Odille,Jean,WIDOW_OF,w118,1.0,Odille veuve Jean de Beufville,directed,,{}
Catherine,Didier Rayeux,WIDOW_OF,w119,1.0,Catherine veuve de Didier Rayeux,directed,,{}
Clere,Claudin Grand,WIDOW_OF,w119,1.0,Clere veuve Claudin Grand Villaume,directed,,{}
Jannotte,Demenge Bagard,WIDOW_OF,w123,1.0,Jannotte veuve Demenge Bagard,directed,,{}
Isabelle,Didier Rouyer,WIDOW_OF,w124,1.0,Isabelle veuve Didier Rouyer,directed,,{}
Francoise,Didier Riston,WIDOW_OF,w124,1.0,"Francoise veuve Didier Riston
Told how one day they were returning from Fresse a",directed,,{}
Barbe Caillet,Anthoine Petit,WIDOW_OF,w124,1.0,Barbe Caillet veuve Anthoine Petit Jean,directed,,{}
Nicolle,Jean Piedmontoy,WIDOW_OF,w124,1.0,Nicolle veuve Jean Piedmontoy,directed,,{}
Lucye,Jean Galbin,WIDOW_OF,w124,1.0,Lucye veuve Jean Galbin,directed,,{}
Jeannon,Mengeot Brichelot,WIDOW_OF,w127,1.0,Jeannon veuve Mengeot Brichelot,directed,,{}
Blaisotte,Pierron Gaignon,WIDOW_OF,w132,1.0,Blaisotte veuve Pierron Gaignon,directed,,{}
Plaisance,Nicolas Gerard,WIDOW_OF,w133,1.0,"was her mother.
(20) Plaisance veuve Nicolas Gerard de Rozieres",directed,,{}
Jeanne,Claudon Bessy,WIDOW_OF,w138,1.0,Jeanne veuve Claudon Bessy des Petites Rosieres,directed,,{}
Margueritte,Jean Husson,WIDOW_OF,w138,1.0,Margueritte veuve Jean Husson des Petites Rosieres,directed,,{}
Marguitte,Jean Gamel,WIDOW_OF,w139,1.0,Marguitte veuve de Jean Gamel de Haillieulle,directed,,{}
Barbeline,Jean Wanier,WIDOW_OF,w140,1.0,Barbeline veuve Jean Wanier,directed,,{}
Barbelline,Jean Vannier,WIDOW_OF,w141,1.0,Barbelline veuve de Jean Vannier,directed,,{}
Jehennon,George Colas,WIDOW_OF,w143,1.0,Jehennon veuve George Colas Bergier de La Bolle,directed,,{}
Mengeatte,Demenge Ban,WIDOW_OF,w143,1.0,Mengeatte veuve Demenge Ban de Hapt,directed,,{}
Mathiette,Colas Marion,WIDOW_OF,w145,1.0,Mathiette veuve de Colas Marion de St. Remy,directed,,{}
Claudatte,Nicolas Chordey,WIDOW_OF,w145,1.0,Claudatte veuve de Nicolas Chordey de St. Remy,directed,,{}
Catherine,Nicolas Miclin,WIDOW_OF,w146,1.0,Catherine veuve de Nicolas Miclin bourgeois de Viel Marché,directed,,{}
Catherine,Jean Aulbert,WIDOW_OF,w147,1.0,Catherine veuve Jean Aulbert de Remeymont,directed,,{}
Catherine,Jacot Rouyer,WIDOW_OF,w148,1.0,Catherine veuve Jacot Rouyer de Rayegoutte,directed,,{}
Jehennon,Colas Henriot,WIDOW_OF,w150,1.0,Jehennon veuve Colas Henriot,directed,,{}
Claudatte,Georgeon Rasaille,WIDOW_OF,w150,1.0,Claudatte veuve Georgeon Rasaille,directed,,{}
Jennon,Didier Guillemotte,WIDOW_OF,w152,1.0,Jennon veuve Didier Guillemotte,directed,,{}
Catherine,Arnould Didier,WIDOW_OF,w152,1.0,Catherine veuve Arnould Didier Arnould,directed,,{}
Mengeatte,Simon,WIDOW_OF,w153,1.0,Mengeatte veuve Simon de Récourt,directed,,{}
Claudette,Demenge,WIDOW_OF,w155,1.0,Claudette veuve Demenge le Marchal de Combrimont,directed,,{}
Jeanne,Claudon Jeannat,WIDOW_OF,w156,1.0,Jeanne veuve de Claudon Jeannat de Clingotte,directed,,{}
Marguitte,Dieudonne Pierat,WIDOW_OF,w156,1.0,Marguitte veuve de Dieudonne Pierat du Moncel,directed,,{}
Valentine,Jean Pierat,WIDOW_OF,w156,1.0,Valentine veuve de Jean Pierat de Clingotte,directed,,{}
Catherine,Jean Marchand,WIDOW_OF,w156,1.0,Catherine veuve Jean Marchand de Saulcy,directed,,{}
Nicolle,Jean Jalley,WIDOW_OF,w158,1.0,Nicolle veuve de Jean Jalley de la pouxerie,directed,,{}
Marion,Jean Dounould,WIDOW_OF,w158,1.0,Marion veuve de Jean Dounould de St. Dié,directed,,{}
Claudatte,Nicolas,WIDOW_OF,w160,1.0,Claudatte veuve de Nicolas le Rieusse de Moyenmoustier,directed,,{}
Catherine,Claudon Demenge,WIDOW_OF,w160,1.0,Catherine veuve Claudon Demenge Thouvenin de la Chapelle,directed,,{}
Mongeatte,Pieron Endreu,WIDOW_OF,w160,1.0,Mongeatte veuve Pieron Endreu du Paire,directed,,{}
Jennon,Mourice Jean,WIDOW_OF,w160,1.0,Jennon veuve Mourice Jean de Lessus du Paire,directed,,{}
Colatte,Jean,WIDOW_OF,w160,1.0,Colatte veuve Jean d'Estival de la Chapelle,directed,,{}
Marion,Jean Demenge,WIDOW_OF,w161,1.0,Marion veuve de Jean Demenge Lienard d'Entre-deux-Eaux,directed,,{}
Marie,Demenge Jacquemin,WIDOW_OF,w164,1.0,Marie veuve Demenge Jacquemin,directed,,{}
Cathellon,Jean Anthoine,WIDOW_OF,w164,1.0,Cathellon veuve Jean Anthoine,directed,,{}
Jennon,Jacquat Barthelemin,WIDOW_OF,w165,1.0,Jennon veuve Jacquat Barthelemin,directed,,{}
Barbelline,Jacquat Charpentier,WIDOW_OF,w165,1.0,Barbelline veuve Jacquat Charpentier,directed,,{}
Barbe,Jean Curien,WIDOW_OF,w166,1.0,Barbe veuve Jean Curien,directed,,{}
Jennon,Colas Bresson,WIDOW_OF,w166,1.0,Jennon veuve Colas Bresson,directed,,{}
Jennon,Colas Lallemand,WIDOW_OF,w166,1.0,Jennon veuve Colas Lallemand,directed,,{}
Jennon,Demenge Bretaux,WIDOW_OF,w169,1.0,Jennon veuve Demenge Bretaux,directed,,{}
Jeanne,Claude Henry,WIDOW_OF,w169,1.0,Jeanne veuve de Claude Henry,directed,,{}
Sebille,Claudon Blaise,WIDOW_OF,w169,1.0,Sebille veuve Claudon Blaise,directed,,{}
