source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Barbellon,Nicolas Mulnier,SPOUSE_OF,w001,1.0,Barbellon femme Nicolas Mulnier,undirected,,{}
Catherine,Didier Moictrier,SPOUSE_OF,w001,1.0,Catherine femme Didier Moictrier,undirected,,{}
Dyon,Jean Vosgien,SPOUSE_OF,w001,1.0,Dyon femme Jean Vosgien,undirected,,{}
Magdellaine,Warin Cherrier,SPOUSE_OF,w001,1.0,Magdellaine femme Warin Cherrier,undirected,,{}
Catherine,Colin Douche,SPOUSE_OF,w001,1.0,Catherine femme Colin Douche,undirected,,{}
Izabel,Demange Rougier,SPOUSE_OF,w002,1.0,Izabel femme Demange Rougier,undirected,,{}
Barbellon,Demange Malgrais,SPOUSE_OF,w002,1.0,Barbellon femme Demange Malgrais,undirected,,{}
Catherine,Nicolas Villaume,SPOUSE_OF,w002,1.0,Catherine femme Nicolas Villaume,undirected,,{}
Odille,Jean Hangney,SPOUSE_OF,w002,1.0,Odille femme Jean Hangney,undirected,,{}
Benoiste,Didier Bruant,SPOUSE_OF,w003,1.0,Benoiste femme Didier Bruant,undirected,,{}
Magdellaine,Humbert Houbin,SPOUSE_OF,w003,1.0,Magdellaine femme Humbert Houbin,undirected,,{}
Alix,Jean Jerome,SPOUSE_OF,w003,1.0,Alix femme Jean Jerome,undirected,,{}
Zabillon,Nicolas Remy,SPOUSE_OF,w003,1.0,Zabillon femme Nicolas Remy,undirected,,{}
Enguel,Aubert Demenge,SPOUSE_OF,w003,1.0,Enguel femme Aubert Demenge,undirected,,{}
Margueritte,Simon Thieriet,SPOUSE_OF,w003,1.0,Margueritte femme Simon Thieriet,undirected,,{}
Jehenne,Jean Sernay,SPOUSE_OF,w003,1.0,Jehenne femme Jean Sernay,undirected,,{}
Mongeatte,Fran,SPOUSE_OF,w003,1.0,Mongeatte femme François Tanaire,undirected,,{}
Zabel,Dieudonné Cardillon,SPOUSE_OF,w003,1.0,Zabel femme Dieudonné Cardillon,undirected,,{}
Claudon,Nicolas Gerardin,SPOUSE_OF,w003,1.0,Claudon femme Nicolas Gerardin,undirected,,{}
Jennon,Thomas Gerardin,SPOUSE_OF,w003,1.0,Jennon femme Thomas Gerardin,undirected,,{}
Betrix,Jean Didier,SPOUSE_OF,w003,1.0,Betrix femme Jean Didier,undirected,,{}
Claudatte George,Nicolas Marchal,SPOUSE_OF,w003,1.0,Claudatte George femme Nicolas Marchal,undirected,,{}
Jehenne,Didier Bregeat,SPOUSE_OF,w003,1.0,Jehenne femme Didier Bregeat,undirected,,{}
Jennon,Cesar Jennat,SPOUSE_OF,w003,1.0,Jennon femme Cesar Jennat,undirected,,{}
Perise,Nicolas Gaspart,SPOUSE_OF,w003,1.0,Perise femme Nicolas Gaspart,undirected,,{}
Barbe,Jean Bregeat,SPOUSE_OF,w003,1.0,Barbe femme Jean Bregeat,undirected,,{}
Jehenne,Pierre Vigneron,SPOUSE_OF,w003,1.0,Jehenne femme Pierre Vigneron,undirected,,{}
Jeanne,Michiel Godar,SPOUSE_OF,w005,1.0,Jeanne femme Michiel Godar,undirected,,{}
Bastienne,Nicolas Mercier,SPOUSE_OF,w005,1.0,Bastienne femme Nicolas Mercier,undirected,,{}
Barbe,Demenge Anguevin,SPOUSE_OF,w005,1.0,Barbe femme Demenge Anguevin,undirected,,{}
Jacquatte,Didier Martin,SPOUSE_OF,w005,1.0,Jacquatte femme Didier Martin,undirected,,{}
Barbe,Demenge Angnevin,SPOUSE_OF,w006,1.0,Barbe femme Demenge Angnevin,undirected,,{}
Catherine,Nicolas Symmonet,SPOUSE_OF,w006,1.0,Catherine femme Nicolas Symmonet,undirected,,{}
Mengeatte,Jean Symmonet,SPOUSE_OF,w006,1.0,Mengeatte femme Jean Symmonet,undirected,,{}
Margueritte,Daniel Houin,SPOUSE_OF,w008,1.0,Margueritte femme Daniel Houin,undirected,,{}
Bietrix,Fran,SPOUSE_OF,w008,1.0,Bietrix femme François Thierion,undirected,,{}
Margueritte,Demenge Huguenin,SPOUSE_OF,w011,1.0,Margueritte femme Demenge Huguenin le jeune,undirected,,{}
Jeanne,Demenge Balatte,SPOUSE_OF,w011,1.0,Jeanne femme Demenge Balatte,undirected,,{}
Jeanne,Claude Ferquel,SPOUSE_OF,w011,1.0,Jeanne femme Claude Ferquel,undirected,,{}
Laurence,Laurent Blanc,SPOUSE_OF,w011,1.0,Laurence femme Laurent Blanc Didier,undirected,,{}
Anne,Nicolas Granice,SPOUSE_OF,w011,1.0,Anne femme Nicolas Granice,undirected,,{}
Margueritte,Vincent Delon,SPOUSE_OF,w012,1.0,Margueritte femme de Vincent Delon,undirected,,{}
Francoise,Pierot Blaise,SPOUSE_OF,w012,1.0,Francoise femme de Pierot Blaise Andre de Seuch,undirected,,{}
